feature,gain
last3_frequency,2086958.8083953857
frequency_since_first,1329726.3288078308
orders_since_last,1125716.47640419
frequency,648692.1979541779
purchase_count,342585.3373069763
aisle_id,300556.11187171936
days_since_product,292340.05738830566
mean_purchase_interval,225402.35013771057
prior_reorder_rate,126680.51423072815
target_gap,76527.82980918884
department_id,38371.484283447266
mean_order_gap,28210.94257736206
mean_cart_position,15892.522163391113
basket_size_std,7536.959024429321
history_orders,6642.000040054321
mean_basket_size,6609.562789916992
last_basket_size,5823.712799072266
unique_products,4625.814697265625
target_hour,4456.610097885132
target_dow,3621.4233016967773
