feature,standardized_coefficient
frequency,0.3137642
frequency_since_first,0.12655196
orders_since_last,-0.41801858
last3_frequency,0.28709713
purchase_count,0.14534238
mean_cart_position,-0.112245224
mean_purchase_interval,0.05955218
history_orders,-0.26568565
mean_basket_size,-0.023075119
basket_size_std,0.05830807
unique_products,0.02656103
prior_reorder_rate,0.38134107
mean_order_gap,0.038806506
target_gap,0.042613067
target_dow,-0.020243136
target_hour,-0.018585235
days_since_product,-0.44122362
last_basket_size,0.022374498
