model,product_threshold,none_threshold,mean_order_f1
frequency,0.1,0.05,0.27219151967250593
frequency,0.1,0.1,0.2718282176039027
frequency,0.1,0.2,0.27137394324138964
frequency,0.1,0.35,0.2711052514457563
frequency,0.1,0.5,0.2711052514457563
frequency,0.1,1.1,0.2711052514457563
frequency,0.12,0.05,0.28536344025919647
frequency,0.12,0.1,0.2850193330638284
frequency,0.12,0.2,0.28456728646533713
frequency,0.12,0.35,0.2842963566482599
frequency,0.12,0.5,0.2842963566482599
frequency,0.12,1.1,0.2842963566482599
frequency,0.14,0.05,0.29428609568493036
frequency,0.14,0.1,0.29386589884087283
frequency,0.14,0.2,0.293473604475177
frequency,0.14,0.35,0.2931787272787679
frequency,0.14,0.5,0.2931787272787679
frequency,0.14,1.1,0.2931787272787679
frequency,0.16,0.05,0.30404624202673664
frequency,0.16,0.1,0.3036441703846344
frequency,0.16,0.2,0.3032157779301007
frequency,0.16,0.35,0.3029066285355157
frequency,0.16,0.5,0.3029066285355157
frequency,0.16,1.1,0.3029066285355157
frequency,0.18,0.05,0.31281747091080814
frequency,0.18,0.1,0.31243024337569913
frequency,0.18,0.2,0.3119768733582715
frequency,0.18,0.35,0.31159634922574675
frequency,0.18,0.5,0.31159634922574675
frequency,0.18,1.1,0.31159634922574675
frequency,0.2,0.05,0.31412294494615606
frequency,0.2,0.1,0.3137898835786954
frequency,0.2,0.2,0.3133983010992386
frequency,0.2,0.35,0.313020317423488
frequency,0.2,0.5,0.313020317423488
frequency,0.2,1.1,0.313020317423488
frequency,0.22,0.05,0.32194905315570926
frequency,0.22,0.1,0.32153356749900724
frequency,0.22,0.2,0.3210511611519565
frequency,0.22,0.35,0.3206639229551001
frequency,0.22,0.5,0.3206639229551001
frequency,0.22,1.1,0.3206639229551001
frequency,0.24,0.05,0.321707719167766
frequency,0.24,0.1,0.3213233925983164
frequency,0.24,0.2,0.32080623643181944
frequency,0.24,0.35,0.3204177280065761
frequency,0.24,0.5,0.3204177280065761
frequency,0.24,1.1,0.3204177280065761
frequency,0.26,0.05,0.32888275353656193
frequency,0.26,0.1,0.32841184248147287
frequency,0.26,0.2,0.32784132847448305
frequency,0.26,0.35,0.32752667475688746
frequency,0.26,0.5,0.32752667475688746
frequency,0.26,1.1,0.32752667475688746
frequency,0.28,0.05,0.32712016605183514
frequency,0.28,0.1,0.326652672515978
frequency,0.28,0.2,0.32607834782382694
frequency,0.28,0.35,0.32576369410623135
frequency,0.28,0.5,0.32576369410623135
frequency,0.28,1.1,0.32576369410623135
frequency,0.3,0.05,0.32519116411989923
frequency,0.3,0.1,0.32470513129829753
frequency,0.3,0.2,0.3241424201228281
frequency,0.3,0.35,0.32387730531232806
frequency,0.3,0.5,0.32387730531232806
frequency,0.3,1.1,0.32387730531232806
frequency,0.32,0.05,0.3208645817477564
frequency,0.32,0.1,0.32035332581961157
frequency,0.32,0.2,0.3197476083401801
frequency,0.32,0.35,0.31948249352968006
frequency,0.32,0.5,0.31948249352968006
frequency,0.32,1.1,0.31948249352968006
frequency,0.34,0.05,0.3245415311859943
frequency,0.34,0.1,0.32406634479510027
frequency,0.34,0.2,0.32364009244064135
frequency,0.34,0.35,0.3234432070406464
frequency,0.34,0.5,0.3234432070406464
frequency,0.34,1.1,0.3234432070406464
frequency,0.36,0.05,0.32089087124275034
frequency,0.36,0.1,0.32040153087840045
frequency,0.36,0.2,0.32002354720264986
frequency,0.36,0.35,0.3198266618026549
frequency,0.36,0.5,0.3198266618026549
frequency,0.36,1.1,0.3198266618026549
frequency,0.38,0.05,0.3145021744600903
frequency,0.38,0.1,0.31401718916449606
frequency,0.38,0.2,0.31365190777261615
frequency,0.38,0.35,0.3134550223726212
frequency,0.38,0.5,0.3134550223726212
frequency,0.38,1.1,0.3134550223726212
frequency,0.4,0.05,0.3111126803988624
frequency,0.4,0.1,0.31069438209358907
frequency,0.4,0.2,0.31031766864622556
frequency,0.4,0.35,0.31012713438816597
frequency,0.4,0.5,0.31012713438816597
frequency,0.4,1.1,0.31012713438816597
frequency,0.42,0.05,0.3024723409612933
frequency,0.42,0.1,0.3021964896965692
frequency,0.42,0.2,0.30196276767334945
frequency,0.42,0.35,0.3017468288475486
frequency,0.42,0.5,0.3017468288475486
frequency,0.42,1.1,0.3017468288475486
frequency,0.44,0.05,0.29645487060171527
frequency,0.44,0.1,0.2962797303019656
frequency,0.44,0.2,0.2960383869084234
frequency,0.44,0.35,0.29579704351488123
frequency,0.44,0.5,0.29579704351488123
frequency,0.44,1.1,0.29579704351488123
frequency,0.46,0.05,0.2903320059377444
frequency,0.46,0.1,0.290139294145307
frequency,0.46,0.2,0.2898852484678942
frequency,0.46,0.35,0.289662958500158
frequency,0.46,0.5,0.289662958500158
frequency,0.46,1.1,0.289662958500158
frequency,0.48,0.05,0.28515508690549174
frequency,0.48,0.1,0.28497126671176376
frequency,0.48,0.2,0.28471722103435093
frequency,0.48,0.35,0.2844949310666148
frequency,0.48,0.5,0.2844949310666148
frequency,0.48,1.1,0.2844949310666148
frequency,0.5,0.05,0.2837936781332699
frequency,0.5,0.1,0.283608769172353
frequency,0.5,0.2,0.28335472349494023
frequency,0.5,0.35,0.283132433527204
frequency,0.5,0.5,0.283132433527204
frequency,0.5,1.1,0.283132433527204
logistic,0.1,0.05,0.32955427210493354
logistic,0.1,0.1,0.3295013614589598
logistic,0.1,0.2,0.32846491486487256
logistic,0.1,0.35,0.3266467683834786
logistic,0.1,0.5,0.32508423624972477
logistic,0.1,1.1,0.32411160422763
logistic,0.12,0.05,0.3475833204963986
logistic,0.12,0.1,0.34738063977604927
logistic,0.12,0.2,0.3464446835925555
logistic,0.12,0.35,0.3444068506500659
logistic,0.12,0.5,0.34303881467719793
logistic,0.12,1.1,0.34250404852624394
logistic,0.14,0.05,0.3593517872532077
logistic,0.14,0.1,0.35912984380601065
logistic,0.14,0.2,0.3580196240431035
logistic,0.14,0.35,0.3565118629476585
logistic,0.14,0.5,0.35550366453072596
logistic,0.14,1.1,0.3552356463410555
logistic,0.16,0.05,0.36403747485063387
logistic,0.16,0.1,0.3639842380900197
logistic,0.16,0.2,0.3629779299001216
logistic,0.16,0.35,0.3614830223062124
logistic,0.16,0.5,0.3605098459005232
logistic,0.16,1.1,0.3602240445134338
logistic,0.18,0.05,0.3642851910833234
logistic,0.18,0.1,0.3643769554613464
logistic,0.18,0.2,0.3635713440906104
logistic,0.18,0.35,0.3621820689093225
logistic,0.18,0.5,0.3611925609957996
logistic,0.18,1.1,0.3609601092009669
logistic,0.2,0.05,0.36158415442322167
logistic,0.2,0.1,0.36174459361650896
logistic,0.2,0.2,0.36125719433709685
logistic,0.2,0.35,0.35996887756787166
logistic,0.2,0.5,0.3589552353149946
logistic,0.2,1.1,0.35877994379757977
logistic,0.22,0.05,0.3559720596278679
logistic,0.22,0.1,0.35632771807742153
logistic,0.22,0.2,0.3559998094441247
logistic,0.22,0.35,0.3547904612890407
logistic,0.22,0.5,0.35388478844906407
logistic,0.22,1.1,0.3537793594929377
logistic,0.24,0.05,0.34917018280327966
logistic,0.24,0.1,0.34979785603022123
logistic,0.24,0.2,0.3495299368193861
logistic,0.24,0.35,0.3485499556187663
logistic,0.24,0.5,0.3476506339207249
logistic,0.24,1.1,0.34763412095169305
logistic,0.26,0.05,0.3404228899238234
logistic,0.26,0.1,0.34116942340795314
logistic,0.26,0.2,0.34126277144734185
logistic,0.26,0.35,0.3402763181306545
